hotel_name,hotel_stars_count,location,rating,room_type1,occupancy1,summer_price1,room_type2,occupancy2,summer_price2,room_type3,occupancy3,summer_price3,amenities_list
Семеен хотел Акшаена,,Созопол,8.8,стандартна стая,3,90 лв,студио,2,80 лв,студио,4,100 лв,"['открит басейн', 'барбекю', 'кафене', 'телевизор', 'сателитна тв', 'климатик', 'хладилник', 'интернет', 'баня/тоалетна', 'пералня', 'тераса', 'изглед', 'ютия', 'кухненски бокс', 'дом. любимци']"
Фиорд B&B,3.0,Созопол,9.8,стандартна стая,2,156 лв,стандартна стая,2,148 лв,лукс стая,2,168 лв,"['паркинг', 'сейф', 'лоби бар', 'телевизор', 'кабелна тв', 'климатик', 'хладилник', 'телефон', 'интернет', 'баня/тоалетна', 'тераса', 'изглед', 'вана', 'ютия', 'сешоар', 'пране', 'гладене', 'плащане с карта']"
Хотел Св. Зосим,3.0,Созопол,9.1,студио,4,180 лв,лукс апартамент,8,440 лв,,,,"['паркинг', 'телевизор', 'кухня', 'кабелна тв', 'климатик', 'хладилник', 'интернет', 'баня/тоалетна', 'микровълнова', 'пералня', 'тераса', 'изглед', 'ютия', 'сешоар', 'кухненски бокс', 'достъп за инвалиди']"
Хотел Лозите,3.0,Созопол,8.1,стандартна стая,2,140 лв,стандартна стая,3,150 лв,лукс стая,2,180 лв,"['паркинг', 'рент-а-кар', 'сейф', 'детски кът', 'колела под наем', 'лоби бар', 'камина', 'телевизор', 'сателитна тв', 'климатик', 'хладилник', 'интернет', 'баня/тоалетна', 'тераса', 'изглед', 'ютия', 'сешоар', 'дом. любимци', 'лятна градина']"
Семеен хотел Морска звезда,3.0,Созопол,7.5,стандартна стая,2,85 лв,стандартна стая,3,75 лв,студио,3,120 лв,"['ресторант', 'сейф', 'телевизор', 'кабелна тв', 'климатик', 'отопление', 'хладилник', 'телефон', 'интернет', 'баня/тоалетна', 'микровълнова', 'изглед', 'ютия', 'сешоар', 'кухненски бокс', 'пране', 'гладене', 'плащане с карта', 'електрическа кана', 'готварска печка']"
Семеен хотел Свети Никола,3.0,Созопол,9.3,стандартна стая,2,110 лв,стандартна стая,3,120 лв,лукс стая,3,140 лв,"['паркинг', 'ресторант', 'рент-а-кар', 'сейф', 'кафене', 'телевизор', 'кабелна тв', 'сателитна тв', 'климатик', 'отопление', 'хладилник', 'мини-бар', 'интернет', 'баня/тоалетна', 'тераса', 'изглед', 'ютия', 'сешоар', 'гладене', 'плащане с карта', 'дом. любимци', 'лятна градина', 'достъп за инвалиди']"
Хотел Южна Перла,3.0,Созопол,7.3,студио,2,180 лв,апартамент,3,290 лв,,,,"['открит басейн', 'паркинг', 'нощен бар', 'фитнес', 'екскурзовод', 'рент-а-кар', 'охрана', 'сауна', 'сейф', 'детски кът', 'детски басейн', 'лоби бар', 'студио за масаж', 'кафене', 'телевизор', 'кухня', 'сателитна тв', 'климатик', 'отопление', 'хладилник', 'телефон', 'интернет', 'баня/тоалетна', 'пералня', 'тераса', 'изглед', 'вана', 'радио', 'DVD', 'ютия', 'сешоар', 'кухненски бокс', 'пране', 'гладене', 'плащане с карта', 'бизнес услуги', 'хим. чистене', 'дом. любимци', 'достъп за инвалиди']"
Вила Ананда,,Созопол,,стандартна стая,2,130 лв,,,,,,,"['барбекю', 'кухня', 'кабелна тв', 'климатик', 'хладилник', 'интернет', 'баня/тоалетна', 'тераса', 'изглед', 'гараж', 'кафе машина', 'лятна градина']"
Хотел Рай,3.0,Созопол,6.8,стандартна стая,2,150 лв,стандартна стая,3,170 лв,студио,3,175 лв,"['открит басейн', 'паркинг', 'ресторант', 'детски басейн', 'телевизор', 'кабелна тв', 'климатик', 'хладилник', 'интернет', 'баня/тоалетна', 'тераса', 'изглед']"
Вила Миа,,Созопол,,къща,11,360 лв,стандартна стая,2,90 лв,лукс стая,3,140 лв,"['телевизор', 'кухня', 'кабелна тв', 'климатик', 'хладилник', 'интернет', 'баня/тоалетна', 'пералня', 'тераса', 'изглед', 'ютия']"
